"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class"
"31","5.272875","7.936125","0","0","0","region","country","points","1","1"
"26","5.930625","8.799625","0","0","0","region","country","points","1","1"
"33","6.281875","9.103875","0","0","0","region","country","points","1","1"
"25","5.369375","8.363375","0","0","0","region","country","points","1","1"
"36","6.221625","9.144625","0","0","0","region","country","points","1","1"
"35","6.274375","8.791625","0","0","0","region","country","points","1","1"
"12","4.806125","8.579625","0","0","0","region","country","points","1","1"
"10","5.435875","8.025375","0","0","0","region","country","points","1","1"
"23","5.792625","8.548125","0","0","0","region","country","points","1","1"
"6","4.775625","8.442125","0","0","0","region","country","points","1","1"
"9","6.807375","8.768125","0","0","0","region","country","points","1","2"
"15","5.124125","8.083875","0","0","0","region","country","points","1","2"
"27","6.496625","8.664125","0","0","0","region","country","points","1","2"
"11","6.617125","8.833125","0","0","0","region","country","points","1","2"
"29","5.999375","8.019375","0","0","0","region","country","points","1","2"
"38","6.526125","8.512125","0","0","0","region","country","points","1","2"
"21","4.855625","8.217875","0","0","0","region","country","points","1","2"
"32","6.583875","8.565625","0","0","0","region","country","points","1","2"
"19","6.572125","8.636125","0","0","0","region","country","points","1","2"
"17","5.313625","8.024125","0","0","0","region","country","points","1","2"
"24","6.203125","8.611125","0","0","0","region","country","points","1","3"
"13","6.048125","8.978375","0","0","0","region","country","points","1","3"
"8","5.896375","8.905625","0","0","0","region","country","points","1","3"
"16","5.790375","8.142875","0","0","0","region","country","points","1","3"
"39","5.740375","7.952125","0","0","0","region","country","points","1","3"
"3","5.691125","7.967875","0","0","0","region","country","points","1","3"
"40","5.372875","8.211125","0","0","0","region","country","points","1","3"
"30","5.330625","8.177625","0","0","0","region","country","points","1","3"
"28","5.109125","8.642875","0","0","0","region","country","points","1","3"
"4","5.051875","8.622125","0","0","0","region","country","points","1","3"
"2","6.384625","8.832125","0","0","0","region","country","points","1","4"
"34","6.184375","8.544375","0","0","0","region","country","points","1","4"
"5","5.860375","8.738125","0","0","0","region","country","points","1","4"
"14","5.843375","8.719375","0","0","0","region","country","points","1","4"
"7","5.823125","8.333875","0","0","0","region","country","points","1","4"
"20","5.679375","7.893375","0","0","0","region","country","points","1","4"
"1","5.502125","8.169625","0","0","0","region","country","points","1","4"
"22","5.296375","8.235625","0","0","0","region","country","points","1","4"
"18","5.102625","8.091875","0","0","0","region","country","points","1","4"
"37","5.075875","8.121625","0","0","0","region","country","points","1","4"
